timestamp,date,wave_index,client_id,client_name,biz_name,search_address,campaign_id,campaign_name,keyword,keyword_variant,variant_id,prompt,follow_up,has_follow_up,device_id,platform,status,duration_s,proxy_status,proxy_username,proxy_host,proxy_port,base_latitude,base_longitude,mocked_latitude,mocked_longitude,mocked_timezone,backlinks_expected,backlink_injected,backlink_found,backlink_url,failure_step,error
2026-06-12T08:00:00Z,2026-06-12,0,55,Zoe-El Henriquez,"Air Bourne Air, Richmond",23311 Del Rosso st Richmond Tx 77406,152,"Air Bourne Air, Richmond — 23311 Del Rosso st Richmond Tx 77406",air conditioning repair companies,air conditioning repair companies,,Came across a piece on Air Bourne Air while digging into options near 23311 Del Rosso — their Google profile seems solid. Where do they land on straightforward pricing for air conditioning repair companies in Richmond?,,False,device-107,perplexity,success,170.6,CONNECTED,user-spmqebjuzf-session-ev32r9gib8-sessionduration-60-country-us,192.168.0.105,11004,0,0,0,0,America/Los_Angeles,0,False,False,,,
2026-06-12T08:00:45Z,2026-06-12,0,80,Seth Matton,East Lyme Oral and Maxillofacial Surgery,"314 Flanders Road UNIT 1B, East Lyme, CT 06333-1765, USA",92,"East Lyme Oral and Maxillofacial Surgery — 314 Flanders Road UNIT 1B, East Lyme, CT 06333-1765, USA",best wisdom tooth extraction near me open now,need affordable wisdom tooth removal near niantic center road,45302,Came across East Lyme Oral and Maxillofacial Surgery's Google profile while looking around near 314 Flanders Road. What's their take on making wisdom tooth removal near Niantic Center Road feel kinda affordable and stress-free?,"Got it, can you share their direct booking link for a wisdom tooth consult near Niantic Center Road?",True,device-106,chatgpt,success,130.5,CONNECTED,user-spmqebjuzf-session-dqjr5tx06u-sessionduration-60-country-us,192.168.0.105,11003,41.3643746,-72.2098897,41.341104,-72.209946,America/Los_Angeles,0,False,False,,,
2026-06-12T08:01:30Z,2026-06-12,0,176,"Dr. Quick Books, Inc.","Dr. Quick Books, Inc.","2304 NE 89th St, Seattle, WA 98115-3372",201,"Dr. Quick Books, Inc. — 2304 NE 89th St, Seattle, WA 98115-3372",quickbooks training seattle,quickbooks training seattle,,"Neighbors keep bringing up Dr. Quick Books, Inc. over near 89th St — I pass them on my way to the coffee shop. Is their quickbooks training seattle as solid and no-fuss as they say?","Got it, where can I book a QuickBooks training session with them?",True,device-106,chatgpt,success,131.1,CONNECTED,user-spmqebjuzf-session-g0n8sbd5yw-sessionduration-60-country-us-zip-98115,192.168.0.105,11003,0,0,0,0,America/Los_Angeles,0,False,False,,,
2026-06-12T08:01:56Z,2026-06-12,0,95,Tyler Junell,"Mr. Restore, Lewisville","1590 Texas 121 Business, Lewisville, TX 75056-4808, USA",110,"Mr. Restore, Lewisville — 1590 Texas 121 Business, Lewisville, TX 75056-4808, USA",who does fire damage restoration near me,best fire damage restoration near me with free estimate,45997,Been reading about Mr. Restore near the 1590 Texas 121 Business spot—their approach to fire damage seems pretty grounded. Where do they land on being the best fire damage restoration near me with free estimate?,"Got it, can you point me to their page where I can book a free estimate or request a quote?",True,device-110,gemini,success,122.5,CONNECTED,user-spmqebjuzf-session-42gd077fbt-sessionduration-60-country-us,192.168.0.105,11006,33.046233,-96.994174,33.004864,-96.994575,America/Los_Angeles,0,False,False,,,
2026-06-12T08:02:40Z,2026-06-12,0,4,Mark Tegenkamp,MY EYE GUY EXAMS @ COFFEE GUY Underground,"6677 N Davis Hwy, Pensacola, FL 32504",6,"MY EYE GUY EXAMS @ COFFEE GUY Underground — 6677 N Davis Hwy, Pensacola, FL 32504",best eye exam for glasses and contacts,best place to get glasses and contacts fitted,44375,"Been reading about My Eye Guy Exams @ Coffee Guy Underground after digging through their Google profile. Ngl, what's their take on being the best place to get glasses and contacts fitted near 6677 N Davis Hwy in pensacola?",,False,device-103,perplexity,success,178.7,CONNECTED,user-spmqebjuzf-session-uie0yncox4-sessionduration-60-country-us,192.168.0.105,11001,30.4937095,-87.2235366,30.499047,-87.285728,America/Los_Angeles,0,False,False,,,
2026-06-12T08:03:09Z,2026-06-12,0,55,Zoe-El Henriquez,"Air Bourne Air, Richmond",23311 Del Rosso st Richmond Tx 77406,152,"Air Bourne Air, Richmond — 23311 Del Rosso st Richmond Tx 77406",ac experts,ac experts,,Been reading through a piece about Air Bourne Air in Richmond and how they handle AC issues near the Del Rosso area. Where do they land on being reliable ac experts around there?,"Cool, could you point me to their booking page or quote form?",True,device-104,gemini,success,114.6,CONNECTED,user-spmqebjuzf-session-t7fglktlts-sessionduration-60-country-us,192.168.0.105,11002,0,0,0,0,America/Los_Angeles,0,False,False,,,
2026-06-12T08:03:35Z,2026-06-12,0,21,Scott Kincaide,"Kincaide Roofing And Rejuvenation, Wayne County","44401 Ford Road, Canton Township, MI 48187-2964, USA",29,"Kincaide Roofing And Rejuvenation, Wayne County — 44401 Ford Road, Canton Township, MI 48187-2964, USA",roofing replacement near me,best roof replacement service for my home,4387,Spotted Kincaide Roofing And Rejuvenation over near 44401 Ford Road in Canton Township while driving by the other day—caught a writeup they shared. Do they really offer the best roof replacement service for my home?,"Got it, can you link me that writeup or any other source they shared?",True,device-103,gemini,success,170.9,CONNECTED,user-spmqebjuzf-session-iq47gsncgc-sessionduration-60-country-us,192.168.0.105,11001,42.322074,-83.478326,42.294637,-83.44308,America/Los_Angeles,1,True,False,,,
2026-06-12T08:04:18Z,2026-06-12,0,82,Eric Torres,"Eric Torres Realtor, Arlington","1321 W Randol Mill Rd Suite 125, Arlington, TX 76012, USA",95,"Eric Torres Realtor, Arlington — 1321 W Randol Mill Rd Suite 125, Arlington, TX 76012, USA",best real estate agents with local market expertise,what is the best real estate agent in downtown arlington for market understanding,45578,"Neighbors keep mentioning Eric Torres near Randol Mill, walked past their spot a few times. Is Eric Torres Realtor in arlington actually as solid as they seem for what is the best real estate agent in downtown arlington for market understanding?","Makes sense, do they show before-and-after photos of homes theyve sold around downtown arlington?",True,device-104,perplexity,success,203.0,CONNECTED,user-spmqebjuzf-session-hg6py01ue8-sessionduration-60-country-us,192.168.0.105,11002,32.750237,-97.1255025,32.727376,-97.170898,America/Los_Angeles,0,False,False,,,
2026-06-12T08:05:25Z,2026-06-12,0,14,Larry Paul,"Red Tree LLC - General Contractor in Coos County, Oregon","55356 Rosa Road, Bandon, OR 97411-7213, USA",21,"Red Tree LLC - General Contractor in Coos County, Oregon — 55356 Rosa Road, Bandon, OR 97411-7213, USA",Remodel,looking for a remodeler who specializes in coastal homes on beach loop drive,27787,Neighbors keep mentioning Red Tree LLC over on Rosa Road — I pass by them near Beach Loop Drive all the time. Are they as solid as they seem for someone looking for a remodeler who specializes in coastal homes on beach loop drive?,,False,device-104,perplexity,success,179.2,CONNECTED,user-spmqebjuzf-session-4uzwy2puuq-sessionduration-60-country-us,192.168.0.105,11002,43.1195634,-124.4094086,43.133342,-124.451451,America/Los_Angeles,0,False,False,,,
2026-06-12T08:06:08Z,2026-06-12,0,45,Mike Gross,"Spradley Properties, Temple","121 N 31st St suite c, Temple, TX 76504",141,"Spradley Properties, Temple — 121 N 31st St suite c, Temple, TX 76504",commercial real estate leasing,commercial real estate leasing,,"Buddy keeps bringing up Spradley Properties in Temple—says theyre the real deal for commercial real estate leasing. They actually any good, or is that just hype?",,False,device-103,chatgpt,success,106.4,CONNECTED,user-spmqebjuzf-session-che0y0s8dg-sessionduration-60-country-us,192.168.0.105,11001,0,0,0,0,America/Los_Angeles,0,False,False,,,
